gene_symbol,log2fc,pvalue,padj,diffexpressed,calcium_category,sig,direction
TRPC5,0.3535500624135291,0.33673943664175565,0.33673943664175565,NS,calcium_channels,FALSE,NS
CACNA1C-AS2,0.33883168865697694,0.3370369486835724,0.3370369486835724,NS,calcium_channels,FALSE,NS
S100PBP,0.07474756309678693,0.3448697760764239,0.3448697760764239,NS,calcium_binding,FALSE,NS
S100A14,0.07951925750162273,0.3460010629106608,0.3460010629106608,NS,calcium_binding,FALSE,NS
CACNG2-DT,-0.564210155330564,0.3471153277325695,0.3471153277325695,NS,calcium_channels,FALSE,NS
CACNA2D1-AS1,-0.07102912882428349,0.3485519381669174,0.3485519381669174,NS,calcium_channels,FALSE,NS
TRPC5OS,-0.21679641029452584,0.34886373972420637,0.34886373972420637,NS,calcium_channels,FALSE,NS
CANX,-0.17569120894911716,0.36755729966955386,0.36755729966955386,NS,calcium_binding,FALSE,NS
ORAI2,0.13154640658844827,0.3693003657076717,0.3693003657076717,NS,calcium_channels,FALSE,NS
ATP2B4,0.1719768406446171,0.3840377404125413,0.3840377404125413,NS,calcium_transport,FALSE,NS
CACNA2D3,0.5569390304507845,0.3906315267170147,0.3906315267170147,NS,calcium_channels,FALSE,NS
S100A8,-0.04526821513853339,0.3910022189557706,0.3910022189557706,NS,calcium_binding,FALSE,NS
CALML3,0.0179575296572655,0.3910022189557706,0.3910022189557706,NS,calcium_binding,FALSE,NS
TRPM8,0.1787722016416984,0.4002110763568079,0.4002110763568079,NS,calcium_channels,FALSE,NS
ATP2A1,0.34196081684916374,0.4051182295514325,0.4051182295514325,NS,calcium_transport,FALSE,NS
CACNA1C-IT3,0.1327258726640261,0.41015147259340534,0.41015147259340534,NS,calcium_channels,FALSE,NS
S100B,-0.40616857244319576,0.4135114289550395,0.4135114289550395,NS,calcium_binding,FALSE,NS
CACNG1,0.3978065827432958,0.4152262472975308,0.4152262472975308,NS,calcium_channels,FALSE,NS
CACNA1G,0.4180581699907562,0.4494059814601935,0.4494059814601935,NS,calcium_channels,FALSE,NS
ATP2C2,0.20386342074612104,0.4568099127623733,0.4568099127623733,NS,calcium_transport,FALSE,NS
ATP2B2,0.261323377631133,0.4595932675688895,0.4595932675688895,NS,calcium_transport,FALSE,NS
TRPC3,-0.0772627467608637,0.4609209182712252,0.4609209182712252,NS,calcium_channels,FALSE,NS
TRPM3,0.4293500972355973,0.4666939865150582,0.4666939865150582,NS,calcium_channels,FALSE,NS
ATP2A2,-0.1594004574565205,0.4705234146326509,0.4705234146326509,NS,calcium_transport,FALSE,NS
CALML6,0.18810705839634748,0.4710422532178645,0.4710422532178645,NS,calcium_binding,FALSE,NS
SLC8A2,0.3252177639458455,0.474006573095649,0.474006573095649,NS,calcium_transport,FALSE,NS
STIM1-AS1,0.12556558853323682,0.48204534795338205,0.48204534795338205,NS,calcium_channels,FALSE,NS
CACNA1C-IT1,-0.08395071065634152,0.4924694434051916,0.4924694434051916,NS,calcium_channels,FALSE,NS
TRPV1,0.18508268490580276,0.4953669923490871,0.4953669923490871,NS,calcium_channels,FALSE,NS
S100A10,0.15465764081746175,0.4983810390440628,0.4983810390440628,NS,calcium_binding,FALSE,NS
MCU,0.2201353462112072,0.5042394347577119,0.5042394347577119,NS,calcium_transport,FALSE,NS
CAMK4,-0.14222952712453912,0.5142352701143489,0.5142352701143489,NS,calcium_binding,FALSE,NS
TRPV4,0.08041205384803199,0.5259055293135815,0.5259055293135815,NS,calcium_channels,FALSE,NS
CACNB3,0.12517374655563676,0.5339930333024433,0.5339930333024433,NS,calcium_channels,FALSE,NS
