"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"ATP5F1A","complex_V","Complex V",-0.0831991349427044,0.555941439296504,0.555941439296504,"NS",FALSE,"NS"
"ATP5F1B","complex_V","Complex V",0.0128544842896202,0.845328778347406,0.845328778347406,"NS",FALSE,"NS"
"ATP5F1C","complex_V","Complex V",0.00568771256359447,0.966648419279072,0.966648419279072,"NS",FALSE,"NS"
"ATP5F1D","complex_V","Complex V",0.0364400107907042,0.805929592271277,0.805929592271277,"NS",FALSE,"NS"
"ATP5F1E","complex_V","Complex V",0.101237880008273,0.302388285417162,0.302388285417162,"NS",FALSE,"NS"
"ATP5MC1","complex_V","Complex V",0.384591932409317,0.0753171045239174,0.0753171045239174,"NS",FALSE,"NS"
"ATP5MC2","complex_V","Complex V",0.0387638826384194,0.823726576786979,0.823726576786979,"NS",FALSE,"NS"
"ATP5MC3","complex_V","Complex V",0.04022615874044,0.697270306379995,0.697270306379995,"NS",FALSE,"NS"
"ATP5ME","complex_V","Complex V",0.132371917746523,0.0983399262270924,0.0983399262270924,"NS",FALSE,"NS"
"ATP5MF","complex_V","Complex V",-0.0379454079831663,0.593733816219738,0.593733816219738,"NS",FALSE,"NS"
"ATP5MG","complex_V","Complex V",0.0223386467568669,0.800984630614441,0.800984630614441,"NS",FALSE,"NS"
"ATP5PB","complex_V","Complex V",-0.117652262422158,0.310766065920694,0.310766065920694,"NS",FALSE,"NS"
"ATP5PD","complex_V","Complex V",-0.0413631421916292,0.593573126658317,0.593573126658317,"NS",FALSE,"NS"
"ATP5PF","complex_V","Complex V",0.043966567211602,0.571099038021111,0.571099038021111,"NS",FALSE,"NS"
"ATP5PO","complex_V","Complex V",0.0905910537815967,0.521188744062521,0.521188744062521,"NS",FALSE,"NS"
"MT-ATP6","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"MT-ATP8","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5IF1","complex_V","Complex V",0.184424571137427,0.295797049910075,0.295797049910075,"NS",FALSE,"NS"
"DNM1L","fission",NA,0.0687011240840493,0.625460192862401,0.625460192862401,"NS",FALSE,"NS"
"FIS1","fission",NA,0.136566567781655,0.345168915727185,0.345168915727185,"NS",FALSE,"NS"
"MFF","fission",NA,-0.0441892882705275,0.578762380472119,0.578762380472119,"NS",FALSE,"NS"
"MIEF1","fission",NA,0.0674749859279638,0.381822690228685,0.381822690228685,"NS",FALSE,"NS"
"MIEF2","fission",NA,0.226057574253131,0.31116950717269,0.31116950717269,"NS",FALSE,"NS"
"MFN1","fusion",NA,0.00605128340796654,0.946070277006652,0.946070277006652,"NS",FALSE,"NS"
"MFN2","fusion",NA,0.148183104907411,0.212146051089512,0.212146051089512,"NS",FALSE,"NS"
"OPA1","fusion",NA,-0.0728322860774606,0.526080137485752,0.526080137485752,"NS",FALSE,"NS"
"OPA3","fusion",NA,0.0936921337829295,0.224524886731743,0.224524886731743,"NS",FALSE,"NS"
"PINK1","mitophagy",NA,0.175559317425889,0.133330727947287,0.133330727947287,"NS",FALSE,"NS"
"PRKN","mitophagy",NA,-0.222443302871365,0.26629176163977,0.26629176163977,"NS",FALSE,"NS"
"BNIP3","mitophagy",NA,-0.192147939742822,0.413707269304164,0.413707269304164,"NS",FALSE,"NS"
"BNIP3L","mitophagy",NA,-0.150494786939773,0.0531824967310652,0.0531824967310652,"NS",FALSE,"NS"
"FUNDC1","mitophagy",NA,-0.0107292555984919,0.929715814927285,0.929715814927285,"NS",FALSE,"NS"
"OPTN","mitophagy",NA,0.124002303669621,0.495923949437533,0.495923949437533,"NS",FALSE,"NS"
"CALCOCO2","mitophagy",NA,-0.284701006715921,0.0650441426899115,0.0650441426899115,"NS",FALSE,"NS"
"NBR1","mitophagy",NA,-0.0151641878283976,0.88471029175953,0.88471029175953,"NS",FALSE,"NS"
"USP30","mitophagy",NA,0.0952657531113971,0.540273691092019,0.540273691092019,"NS",FALSE,"NS"
"USP15","mitophagy",NA,0.0990937624280485,0.348043796193924,0.348043796193924,"NS",FALSE,"NS"
"MUL1","mitophagy",NA,0.0784076829665575,0.261734674532731,0.261734674532731,"NS",FALSE,"NS"
"AMBRA1","mitophagy",NA,0.141392871464253,0.361549306364069,0.361549306364069,"NS",FALSE,"NS"
"PHB2","mitophagy",NA,-0.00987474793511554,0.907393999549303,0.907393999549303,"NS",FALSE,"NS"
"SQSTM1","mitophagy",NA,-0.374119854136572,0.408655759394704,0.408655759394704,"NS",FALSE,"NS"
"POLG","mtdna_maintenance",NA,0.0873585753462925,0.428284420674598,0.428284420674598,"NS",FALSE,"NS"
"POLG2","mtdna_maintenance",NA,-0.0426289696889846,0.812283206853218,0.812283206853218,"NS",FALSE,"NS"
"TFAM","mtdna_maintenance",NA,-0.0162413335569547,0.887480557978611,0.887480557978611,"NS",FALSE,"NS"
"TWNK","mtdna_maintenance",NA,-0.0823715926888271,0.592237291620639,0.592237291620639,"NS",FALSE,"NS"
"SSBP1","mtdna_maintenance",NA,-0.0505636060695099,0.730931550043257,0.730931550043257,"NS",FALSE,"NS"
"TOP1MT","mtdna_maintenance",NA,0.0678817487571243,0.787105109428803,0.787105109428803,"NS",FALSE,"NS"
"POLRMT","mtdna_maintenance",NA,0.0799800273393928,0.748951500069945,0.748951500069945,"NS",FALSE,"NS"
"TFB1M","mtdna_maintenance",NA,0.043461241834265,0.662583700437398,0.662583700437398,"NS",FALSE,"NS"
