"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"COX7C","complex_IV","Complex IV",0.0100901106223402,0.860425891955998,0.860425891955998,"NS",FALSE,"NS"
"COX8A","complex_IV","Complex IV",-0.0736135691600664,0.517826824755128,0.517826824755128,"NS",FALSE,"NS"
"COX8C","complex_IV","Complex IV",0.00848103789470109,0.961587661798313,0.961587661798313,"NS",FALSE,"NS"
"MT-CO1","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"MT-CO2","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"MT-CO3","complex_IV","Complex IV",NA,NA,NA,NA,NA,"NS"
"COX10","complex_IV","Complex IV",0.0785334025466893,0.195990892234825,0.195990892234825,"NS",FALSE,"NS"
"COX11","complex_IV","Complex IV",0.0468782398349104,0.741020535518175,0.741020535518175,"NS",FALSE,"NS"
"COX14","complex_IV","Complex IV",0.00429611721609125,0.964540437897526,0.964540437897526,"NS",FALSE,"NS"
"COX15","complex_IV","Complex IV",-0.0417602867371518,0.712878389430629,0.712878389430629,"NS",FALSE,"NS"
"COX16","complex_IV","Complex IV",0.0735506882333363,0.314896150787957,0.314896150787957,"NS",FALSE,"NS"
"COX17","complex_IV","Complex IV",0.183144038496477,0.174991191226407,0.174991191226407,"NS",FALSE,"NS"
"COX18","complex_IV","Complex IV",-0.0739048147534223,0.263227172794014,0.263227172794014,"NS",FALSE,"NS"
"COX19","complex_IV","Complex IV",0.0318906963935783,0.792683857102971,0.792683857102971,"NS",FALSE,"NS"
"COX20","complex_IV","Complex IV",0.138638259647781,0.485382222481251,0.485382222481251,"NS",FALSE,"NS"
"SCO1","complex_IV","Complex IV",-0.0363200927575128,0.553478395501337,0.553478395501337,"NS",FALSE,"NS"
"SCO2","complex_IV","Complex IV",-0.012592829192627,0.935763900359248,0.935763900359248,"NS",FALSE,"NS"
"SURF1","complex_IV","Complex IV",-0.360983977471504,0.0377924766793947,0.0377924766793947,"NS",FALSE,"NS"
"ATP5F1A","complex_V","Complex V",-0.0250716009710122,0.778120211685572,0.778120211685572,"NS",FALSE,"NS"
"ATP5F1B","complex_V","Complex V",-0.0235350653969518,0.821057660371626,0.821057660371626,"NS",FALSE,"NS"
"ATP5F1C","complex_V","Complex V",0.112501355424028,0.147534003143131,0.147534003143131,"NS",FALSE,"NS"
"ATP5F1D","complex_V","Complex V",-0.0709373706862756,0.678169132784509,0.678169132784509,"NS",FALSE,"NS"
"ATP5F1E","complex_V","Complex V",0.172676060847615,0.14586064649559,0.14586064649559,"NS",FALSE,"NS"
"ATP5MC1","complex_V","Complex V",0.248532466210373,0.0682688221480506,0.0682688221480506,"NS",FALSE,"NS"
"ATP5MC2","complex_V","Complex V",0.0259923734458137,0.854373766296041,0.854373766296041,"NS",FALSE,"NS"
"ATP5MC3","complex_V","Complex V",0.0377424544990726,0.468332518457225,0.468332518457225,"NS",FALSE,"NS"
"ATP5ME","complex_V","Complex V",0.0694594846156609,0.454885131059379,0.454885131059379,"NS",FALSE,"NS"
"ATP5MF","complex_V","Complex V",0.169033348113009,0.194267706593774,0.194267706593774,"NS",FALSE,"NS"
"ATP5MG","complex_V","Complex V",0.0750891043336877,0.457423889440492,0.457423889440492,"NS",FALSE,"NS"
"ATP5PB","complex_V","Complex V",0.0124909441831968,0.864516147313522,0.864516147313522,"NS",FALSE,"NS"
"ATP5PD","complex_V","Complex V",0.0820560848276672,0.315696118439792,0.315696118439792,"NS",FALSE,"NS"
"ATP5PF","complex_V","Complex V",0.0871575758066711,0.349846716970866,0.349846716970866,"NS",FALSE,"NS"
"ATP5PO","complex_V","Complex V",0.140127263164498,0.198928471565315,0.198928471565315,"NS",FALSE,"NS"
"MT-ATP6","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"MT-ATP8","complex_V","Complex V",NA,NA,NA,NA,NA,"NS"
"ATP5IF1","complex_V","Complex V",0.0684866097952859,0.608329047168198,0.608329047168198,"NS",FALSE,"NS"
"DNM1L","fission",NA,0.120685278302105,0.590828335525376,0.590828335525376,"NS",FALSE,"NS"
"FIS1","fission",NA,0.181570839027385,0.0612845924701058,0.0612845924701058,"NS",FALSE,"NS"
"MFF","fission",NA,0.0240753683590438,0.834040344161128,0.834040344161128,"NS",FALSE,"NS"
"MIEF1","fission",NA,-0.0159385332711865,0.834658409440795,0.834658409440795,"NS",FALSE,"NS"
"MIEF2","fission",NA,0.109044696751825,0.0925443489091761,0.0925443489091761,"NS",FALSE,"NS"
"MFN1","fusion",NA,-0.0673193843647238,0.66631940631405,0.66631940631405,"NS",FALSE,"NS"
"MFN2","fusion",NA,0.0583588082624677,0.510416161705969,0.510416161705969,"NS",FALSE,"NS"
"OPA1","fusion",NA,0.027040044881569,0.788900851888059,0.788900851888059,"NS",FALSE,"NS"
"OPA3","fusion",NA,0.0260935247862213,0.576912663887184,0.576912663887184,"NS",FALSE,"NS"
"PINK1","mitophagy",NA,0.158112209094149,0.228295211331285,0.228295211331285,"NS",FALSE,"NS"
"PRKN","mitophagy",NA,-0.0453639435102619,0.730860574852038,0.730860574852038,"NS",FALSE,"NS"
"BNIP3","mitophagy",NA,-0.203624381411152,0.182117895817987,0.182117895817987,"NS",FALSE,"NS"
"BNIP3L","mitophagy",NA,-0.0631740400280674,0.43208523893672,0.43208523893672,"NS",FALSE,"NS"
"FUNDC1","mitophagy",NA,0.0379044353860113,0.67733986238861,0.67733986238861,"NS",FALSE,"NS"
"OPTN","mitophagy",NA,0.0255350921071375,0.898015733690732,0.898015733690732,"NS",FALSE,"NS"
"CALCOCO2","mitophagy",NA,-0.290386384070633,0.034729482135462,0.034729482135462,"NS",FALSE,"NS"
"NBR1","mitophagy",NA,-0.00118661457017354,0.988268545612698,0.988268545612698,"NS",FALSE,"NS"
"USP30","mitophagy",NA,0.0784989746251036,0.081590437843384,0.081590437843384,"NS",FALSE,"NS"
"USP15","mitophagy",NA,0.0482098417784864,0.780499772578199,0.780499772578199,"NS",FALSE,"NS"
"MUL1","mitophagy",NA,-0.0230812756689429,0.85564818779015,0.85564818779015,"NS",FALSE,"NS"
"AMBRA1","mitophagy",NA,0.0779452387887665,0.489545417162537,0.489545417162537,"NS",FALSE,"NS"
"PHB2","mitophagy",NA,0.00628720751385894,0.957187908099096,0.957187908099096,"NS",FALSE,"NS"
"SQSTM1","mitophagy",NA,-0.352463592934385,0.250074605213872,0.250074605213872,"NS",FALSE,"NS"
"POLG","mtdna_maintenance",NA,0.000503646380010959,0.996261965522513,0.996261965522513,"NS",FALSE,"NS"
"POLG2","mtdna_maintenance",NA,0.0265918070738783,0.845826782305552,0.845826782305552,"NS",FALSE,"NS"
"TFAM","mtdna_maintenance",NA,0.111670762666772,0.267547591573274,0.267547591573274,"NS",FALSE,"NS"
"TWNK","mtdna_maintenance",NA,0.00311837863767155,0.984389914542164,0.984389914542164,"NS",FALSE,"NS"
