gene_symbol,log2fc,pvalue,padj
GTF2IP13,-0.3660776938199174,0.046992557,0.046992557
LINC01388,-1.6697498912325797,0.007401339,0.007401339
MMADHC-DT,0.41825421216802694,0.010381129,0.010381129
LOC101929359,2.823073112356825,0.029861618,0.029861618
LINC01648,1.0023930639367786,0.048600868,0.048600868
PTPRD-AS1,0.7708839024908362,0.049936676,0.049936676
PTPRD-DT,1.0359524330991443,0.019461332,0.019461332
THBS2-AS1,0.6122867254588421,0.033941356,0.033941356
LOC101929536,-2.927400157123144,0.002676024,0.002676024
LINC01990,0.8904132062011797,2.19438e-4,2.19438e-4
SCIRT,0.5075828575694906,0.032341687,0.032341687
LOC101929750,1.0868830757041767,0.020690003,0.020690003
TSHZ1,0.5356935955822477,0.041742234,0.041742234
FLOT1,0.3979543586034353,0.023431908,0.023431908
OLIG2,0.8642738388261846,0.025358654,0.025358654
CALCOCO2,-0.2962910048092743,0.034729482,0.034729482
TIMM17B,0.19207580387370687,0.033999352,0.033999352
MIR6511B1,0.8649553473261592,0.033127595,0.033127595
MIR6748,0.4825824485982023,0.024405472,0.024405472
MIR486-2,0.8627084781980697,0.012209047,0.012209047
MIR6774,-2.0423691644954243,0.04743317,0.04743317
IRX5,1.3315448483352528,0.024945387,0.024945387
CDKN1B,-0.2073788287470363,0.042564576,0.042564576
LHX1-DT,0.858821786761419,0.037846725,0.037846725
LOC102723506,-1.0669993171149328,0.044261181,0.044261181
LOC102723512,0.9994898435371199,0.020160467,0.020160467
LMNB1-DT,1.8318268602664654,0.0295652,0.0295652
LOC102723678,0.7276352784127131,0.020243287,0.020243287
LOC102723752,0.9064101466433352,0.047916409,0.047916409
LINC02362,0.7638812276233565,0.024321004,0.024321004
LOC102723795,1.2107680021379779,0.029453528,0.029453528
LOC102723814,0.6536914949006958,0.049326034,0.049326034
LOC102723870,0.5305974895070953,0.030786447,0.030786447
LOC102724151,0.5777375161575451,0.023986178,0.023986178
PCMTD1-DT,0.22791379835403153,0.031846762,0.031846762
LOC102724382,1.4523084273883706,0.006268234,0.006268234
LOC102724521,-0.7933233843887029,0.024100636,0.024100636
LOC102724608,-1.5142660268992476,0.049316143,0.049316143
LOC102724900,3.742967336907194,0.00356558,0.00356558
LOC102724948,-0.5848754583416886,0.018303688,0.018303688
LOC102724965,0.26278852680472004,0.031256006,0.031256006
LOC102725227,1.3415173097745146,0.043237441,0.043237441
PKDREJ,0.5297501195805154,0.008625464,0.008625464
NPM2,0.6877090179337233,0.036998077,0.036998077
LINC01201,0.8687510989215493,0.01504456,0.01504456
TXNDC12-AS1,0.8528304649263188,0.041881148,0.041881148
PFDN6,0.16907618549624295,0.044031675,0.044031675
LINC02210-CRHR1,0.34957753632240784,0.043850787,0.043850787
LOC105369212,1.233962244811024,0.027410066,0.027410066
LOC105369299,0.47446466063848614,0.047126181,0.047126181
LOC105369304,1.0194197633024145,0.041860229,0.041860229
LOC105369313,0.6111496858711138,0.04048332,0.04048332
LOC105369315,0.8793815343212531,0.025973025,0.025973025
TPBGL-AS1,0.8411628662653333,5.05e-5,5.05e-5
LOC105369389,1.1136389319735387,0.010194913,0.010194913
LOC105369519,-1.0249891177351385,0.025322347,0.025322347
LOC105369616,1.0088341968925019,0.039050511,0.039050511
LOC105369617,1.3235452664574485,0.027678293,0.027678293
LOC105369632,0.373627131269584,0.043252992,0.043252992
LOC105369714,0.9254069794992079,0.0374485,0.0374485
LOC105369752,-0.49719589721665985,0.049468221,0.049468221
LOC105369763,2.1589895236074783,0.002064088,0.002064088
LOC105369847,-2.1390996057612335,0.026247951,0.026247951
LOC105369890,1.2185770040872461,0.04533237,0.04533237
LINC02404,-2.056859108976257,0.027902059,0.027902059
LOC105369965,1.0883225182116887,0.002842709,0.002842709
LOC105370044,1.514299796832029,0.006156887,0.006156887
LOC105370091,0.46685964782094647,0.004650264,0.004650264
LOC105370094,1.3121238493834437,0.04757751,0.04757751
LOC105370109,-1.629748984004276,0.024817689,0.024817689
LOC105370170,0.8278179362965374,0.007176293,0.007176293
LOC105370247,1.9261373973861062,0.025397598,0.025397598
OXA1L-DT,1.1561806589546058,0.045146649,0.045146649
LOC105370504,-0.5964524841362606,0.048549241,0.048549241
LOC105370518,0.7480823246625765,0.012844044,0.012844044
LOC105370519,1.0365858911610084,0.004788918,0.004788918
LOC105370589,0.8496132779097824,0.039437765,0.039437765
LOC105370763,2.0114753193083312,0.048284053,0.048284053
LOC105370772,2.471571227103045,0.036456839,0.036456839
LOC105370886,2.479789119643951,0.042984143,0.042984143
LOC105370997,0.7798041052596075,0.03743587,0.03743587
LOC105371075,3.444346117625058,3.77193e-4,3.77193e-4
LOC105371191,-0.9605032725128976,0.029781084,0.029781084
LIX1L-AS1,0.2003479963044376,0.025367072,0.025367072
LOC105371265,1.8131226565829925,0.019209218,0.019209218
LOC105371508,-1.9252130833438674,0.040477581,0.040477581
LOC105371611,1.661659969369122,0.006038496,0.006038496
LOC105371659,0.9282837507593874,0.04382081,0.04382081
LOC105371665,1.207122878470168,0.038812129,0.038812129
LOC105371737,1.0572179908483599,0.016909568,0.016909568
LOC105371932,0.5859938810964699,0.043710206,0.043710206
LOC105371972,2.295419787833215,2.04732e-4,2.04732e-4
LOC105371976,-1.6700913272945923,0.020626178,0.020626178
LOC105371995,1.0682540038392696,0.002907525,0.002907525
LOC105372106,1.8214196139278527,0.036385204,0.036385204
