gene_symbol,log2fc,pvalue,padj
ACSL3,0.2976705665258064,0.01392451,0.01392451
SKA1,-1.472603658251795,0.046360515,0.046360515
ALDH3B1,-0.8673183974561323,0.039537378,0.039537378
SLC39A12,-3.3294100913129863,0.03195094,0.03195094
FGFR1,-0.25840349333534784,0.015039003,0.015039003
FGL1,2.3810989435840977,0.023046163,0.023046163
VASH1,0.25311705347106617,0.005071616,0.005071616
MLXIP,0.3284517819501243,0.034536607,0.034536607
TRAPPC8,-0.24001520722221098,0.041797049,0.041797049
ELL2,0.5971917142112184,0.005872259,0.005872259
TRIM32,0.28145349129287267,0.048214845,0.048214845
SORCS3,-1.5962501828093867,0.016434655,0.016434655
HMGXB3,0.12315631924616824,0.011264153,0.011264153
CYFIP1,-0.4210961553958388,0.004904525,0.004904525
FAM120A,-0.3687449157942878,0.03995236,0.03995236
DENND5A,-0.15591564500073368,0.00304683,0.00304683
ZC3H7B,-0.40000857644337573,0.020952888,0.020952888
ADGRL2,0.6358171813849622,0.028588542,0.028588542
WWC1,-1.164633982433345,0.020512842,0.020512842
SMG6,0.21940496643234358,0.008859769,0.008859769
NEMP1,-0.47597873686996517,0.019542242,0.019542242
JADE2,-0.18797971713879336,0.030445472,0.030445472
SUN1,-0.2712741850363968,0.035449554,0.035449554
GPR161,-0.4171223181190989,0.019295016,0.019295016
FOSL2,-0.4473510097144454,0.031566622,0.031566622
CA14,-0.7945684559432374,0.042336775,0.042336775
LDOC1,0.4284824537876036,0.047640132,0.047640132
ARHGAP8,0.8077475908150651,0.03030219,0.03030219
PANX1,0.4148815842111513,0.048720626,0.048720626
GAST,3.2573925786472344,0.010078452,0.010078452
NEIL2,0.22501990450281942,0.046089516,0.046089516
PHYHD1,-0.5111101426352987,0.042271435,0.042271435
TMCO4,-0.5131524984851248,0.00103422,0.00103422
BACE2,-0.9706433710687877,0.046269339,0.046269339
FAM149A,0.44624567514697866,0.030068393,0.030068393
RNF19A,-0.7644197802961641,0.020950114,0.020950114
SGMS1,-0.35225584547175687,0.048798022,0.048798022
TAS2R46,-1.278251454886767,0.011270632,0.011270632
FAM32A,0.15427460702671528,0.047086489,0.047086489
LRIG1,-1.0936893535448655,0.032682569,0.032682569
ARHGEF26,-0.7249567830388539,0.04872255,0.04872255
WIPI2,0.1463038915729193,0.022149601,0.022149601
FBXL21P,0.8963899678498828,0.033512848,0.033512848
FBXO2,0.390534696181232,0.028398114,0.028398114
KLHL3,0.5952960063198424,0.046292607,0.046292607
GCDH,-0.3557085337800576,0.032015996,0.032015996
