"gene_symbol","category","complex","log2fc","pvalue","padj","diffexpressed","sig","direction"
"IDH1","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"IDH2","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"IDH3A","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"IDH3B","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"IDH3G","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"OGDH","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"OGDHL","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"DLST","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"DLD","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"SUCLG1","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"SUCLG2","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"SUCLA2","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"FH","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"MDH1","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"MDH2","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"PCK1","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"PCK2","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"PC","tca_cycle",NA,NA,NA,NA,NA,NA,"NS"
"CYCS","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"BAX","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"BAK1","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"BCL2","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"BCL2L1","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"MCL1","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"BID","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"BAD","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"APAF1","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"DIABLO","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"HTRA2","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"AIFM1","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"ENDOG","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"VDAC1","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"VDAC2","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
"VDAC3","mito_apoptosis",NA,NA,NA,NA,NA,NA,"NS"
