gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
SNAI3-AS1,0.8054739232526723,0.004402216,0.004402216,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CCDC28B,0.32052446754699154,0.004408126,0.004408126,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPMIP5,0.5569696927754918,0.004453014,0.004453014,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373429,1.380471790301626,0.004544689,0.004544689,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
FGF8,-1.1732123043666436,0.004559322,0.004559322,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LMO1,1.1266948808042716,0.004607073,0.004607073,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105370091,0.46685964782094647,0.004650264,0.004650264,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01349,1.9407951868904136,0.004696585,0.004696585,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
CBLL1-AS1,0.32563279971508285,0.004721448,0.004721448,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01649,0.7550238742144666,0.004739508,0.004739508,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105370519,1.0365858911610084,0.004788918,0.004788918,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SMIM10L2B-AS1,-1.7257844389169366,0.004807493,0.004807493,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
RPS4Y1,-0.27209441975379123,0.004946125,0.004946125,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
PTRHD1,-0.44030531628744873,0.004950823,0.004950823,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
EEIG1,-0.2579080649725005,0.005080716,0.005080716,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CNBP,-0.17867014502226847,0.005144407,0.005144407,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ISL1,1.2582949449756426,0.005225161,0.005225161,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107984019,1.0184954907270725,0.005228719,0.005228719,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
BACE2,-0.8083138715104328,0.005274578,0.005274578,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RARRES2,-0.7795577842851366,0.005275291,0.005275291,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107984776,2.3928575840074284,0.00534079,0.00534079,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNAI3,0.7925879264465024,0.005361713,0.005361713,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373178,2.735843061321896,0.005463864,0.005463864,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105374589,2.7353516605952675,0.005474246,0.005474246,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105375689,2.8055994934449813,0.005620979,0.005620979,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
NPC1,-0.4689397884755954,0.005622058,0.005622058,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105378847,-2.051442795813022,0.005859094,0.005859094,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
FBXW12,1.0407476777742688,0.005914296,0.005914296,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
IAH1,-0.09525536151021548,0.005998303,0.005998303,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105371611,1.661659969369122,0.006038496,0.006038496,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
UBE2G2,-0.1794769383020369,0.006062964,0.006062964,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
RIPOR2,-0.44075037627221536,0.006135074,0.006135074,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105370044,1.514299796832029,0.006156887,0.006156887,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ALDH1A2,1.3604492073408037,0.006246046,0.006246046,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC102724382,1.4523084273883706,0.006268234,0.006268234,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01664,1.384000402211827,0.006347404,0.006347404,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986453,2.060736895950761,0.00642632,0.00642632,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
COLGALT1,-0.38736465033468503,0.006703488,0.006703488,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986710,0.4943551301247661,0.006804989,0.006804989,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FGF5,1.2015099327338352,0.006816979,0.006816979,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SFRP4,-0.8983855278534506,0.006854853,0.006854853,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105370170,0.8278179362965374,0.007176293,0.007176293,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC35F4,1.2827942202241975,0.007212663,0.007212663,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
NFATC1,-0.643637085832975,0.007337315,0.007337315,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC101928466,0.615107067833147,0.007397863,0.007397863,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
FABP6-AS1,1.8357612813836632,0.007400569,0.007400569,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01388,-1.6697498912325797,0.007401339,0.007401339,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105373756,2.913195346492,0.007552812,0.007552812,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105376806,-0.4206191960245196,0.007618416,0.007618416,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC02641,1.3254688347511614,0.00762792,0.00762792,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PAICS,-0.28216434398980555,0.007745969,0.007745969,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CCDC169-SOHLH2,0.8271750845660075,0.007844539,0.007844539,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC43A2,0.4037812085649194,0.007896919,0.007896919,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CSF1,-0.5379713552117477,0.007908645,0.007908645,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
