"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOWN_full_ranked_unpurified","GO:0002705","positive regulation of leukocyte mediated immunity","2/9","158/18986",0.0126582278481013,26.7032348804501,7.06524148339148,0.00238422754689901,0.0107701313325438,0.00519251008399058,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002706","regulation of lymphocyte mediated immunity","2/9","198/18986",0.0101010101010101,21.3086419753086,6.25584499564399,0.0037123182331571,0.016210456284786,0.00781540680664652,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","2/9","206/18986",0.00970873786407767,20.4811218985976,6.12227110102475,0.00401124568680725,0.0169507479023145,0.00817231718874142,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002819","regulation of adaptive immune response","2/9","221/18986",0.00904977375565611,19.0910005027652,5.89111112291544,0.00460117487534798,0.0188360596459558,0.0090812662013447,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002703","regulation of leukocyte mediated immunity","2/9","258/18986",0.00775193798449612,16.3531438415159,5.4072225933841,0.00621796535056113,0.0246834382098033,0.011900412154184,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0001906","cell killing","2/9","264/18986",0.00757575757575758,15.9814814814815,5.33818206009601,0.00650149372321741,0.0250498728747494,0.0120770781236237,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0002699","positive regulation of immune effector process","2/9","272/18986",0.00735294117647059,15.5114379084967,5.24957764974759,0.00688867390084221,0.0257833223145809,0.0124306897458807,"MICA/ULBP2",2
"DOWN_full_ranked_unpurified","GO:0071360","cellular response to exogenous dsRNA","1/9","17/18986",0.0588235294117647,124.091503267974,11.0571472871965,0.00803145339988298,0.0292255665384631,0.0140902691226017,"COLEC12",1
"DOWN_full_ranked_unpurified","GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","1/9","20/18986",0.05,105.477777777778,10.1803762251773,0.00944280117818874,0.0325528145879665,0.0156944063903414,"MICA",1
"DOWN_full_ranked_unpurified","GO:1900037","regulation of cellular response to hypoxia","1/9","20/18986",0.05,105.477777777778,10.1803762251773,0.00944280117818874,0.0325528145879665,0.0156944063903414,"CHCHD2",1
