gene_symbol,log2fc,pvalue,padj,diffexpressed,is_purinergic,purinergic_category,is_mitochondrial,mito_category,mito_complex,is_crosstalk,top_hallmark
INKA2,-0.43177336785139786,0.013129511,0.013129511,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LUCAT1,1.1064090059025895,0.013142997,0.013142997,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC01856,2.2524534363288327,0.013149695,0.013149695,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105377743,1.843011850728775,0.013605857,0.013605857,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
PBX3-DT,2.104265251017686,0.013628236,0.013628236,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
IRX4,3.0385405095293865,0.013638807,0.013638807,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SPAG7,0.21198155325591916,0.013646353,0.013646353,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
DDTL,0.47108594832433254,0.013654678,0.013654678,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CYYR1,-0.8149949836928719,0.01371102,0.01371102,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
HOXA4,0.7536723276630974,0.013857289,0.013857289,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ADAMTS20,1.3723394413070191,0.01389684,0.01389684,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
ARHGAP12,-0.2350538133387895,0.013904466,0.013904466,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ACSL3,0.2976705665258064,0.01392451,0.01392451,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR3162,-1.5845130961985816,0.013935235,0.013935235,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
UOX,1.6858029650539097,0.013941214,0.013941214,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
STIL,-0.3559916857076093,0.014036622,0.014036622,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SFTPD,-0.43018074391140704,0.014098901,0.014098901,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ELFN1,0.6219283454896788,0.014110622,0.014110622,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
UBL7,0.2387059514696017,0.014192395,0.014192395,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SALL3,-1.022923890669207,0.014261171,0.014261171,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
BRIP1,-0.7859190756303777,0.014295122,0.014295122,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SNORA63E,0.6948570230421872,0.014327155,0.014327155,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
SLC2A1-DT,0.9052778325058296,0.014346764,0.014346764,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
ZNF850,0.6514384554723563,0.014400416,0.014400416,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105372225,-2.9033965399280808,0.01450088,0.01450088,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LINC00324,0.7735481789013219,0.01460468,0.01460468,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC105372829,2.5221516967441935,0.01463176,0.01463176,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
NUP54,-0.39792297974618057,0.014703845,0.014703845,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
MMP1,1.3158711689827929,0.014940535,0.014940535,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
FGFR1,-0.25840349333534784,0.015039003,0.015039003,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC100128361,0.48328748407165256,0.015114235,0.015114235,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
NEDD8-MDP1,0.18099557039343123,0.015250688,0.015250688,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
GUCY2EP,2.4459462964407277,0.015452379,0.015452379,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MCCC2,-0.25731527908723034,0.015507122,0.015507122,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
AJAP1,-2.750959609697869,0.015547884,0.015547884,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
MIR1231,1.370760517217632,0.015604526,0.015604526,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
SMYD3,0.4084322945271376,0.015656817,0.015656817,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
CD22,1.4857267951424016,0.015860243,0.015860243,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
TBX15,-1.0748953783959725,0.01588479,0.01588479,Downregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
DSCC1,-0.7411994790524404,0.015914689,0.015914689,NS,FALSE,NA,FALSE,NA,NA,FALSE,NA
VHLL,2.1051198892927725,0.015924575,0.015924575,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
LOC107986942,1.8576666420082903,0.016009892,0.016009892,Upregulated,FALSE,NA,FALSE,NA,NA,FALSE,NA
